Day,Time,Food_Item,Food_Category,Food_SubType,Food_Type,Weather,Price,Previous_Sales,Is_Friday,Is_Weekend,Is_Special_Day,Demand
Tuesday,Morning,Biscuits,Packed,Snack,Veg,Rainy,100,15,0,0,0,17
Monday,Lunch,Cake_Piece,Packed,Dessert,Veg,Rainy,220,6,0,0,1,7
Thursday,Evening,Juice,Fresh,Drink,Veg,Sunny,120,19,0,0,0,21
Monday,Morning,Idly,Fresh,Meal,Veg,Cloudy,310,10,0,0,0,10
Friday,Evening,Tea,Fresh,Drink,Veg,Rainy,50,16,1,0,0,18
Saturday,Lunch,Chips,Packed,Snack,Veg,Cloudy,150,6,0,1,0,6
Thursday,Evening,Chocolate,Packed,Dessert,Veg,Cloudy,200,6,0,0,0,7
Sunday,Lunch,Tea,Fresh,Drink,Veg,Rainy,50,9,0,1,0,8
Tuesday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,26,0,0,1,28
Saturday,Evening,Chips,Packed,Snack,Veg,Rainy,150,7,0,1,0,7
Sunday,Lunch,Rice,Fresh,Meal,Veg,Cloudy,300,12,0,1,0,12
Friday,Morning,Idly,Fresh,Meal,Veg,Sunny,310,18,1,0,0,20
Sunday,Morning,Idly,Fresh,Meal,Veg,Sunny,310,28,0,1,0,31
Friday,Lunch,Rice,Fresh,Meal,Veg,Rainy,300,9,1,0,0,9
Wednesday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,14,0,0,0,13
Saturday,Morning,Juice,Fresh,Drink,Veg,Sunny,120,28,0,1,1,30
Thursday,Lunch,SoftDrink,Packed,Drink,Veg,Sunny,180,10,0,0,0,10
Thursday,Lunch,Biscuits,Packed,Snack,Veg,Cloudy,100,22,0,0,0,24
Sunday,Morning,Tea,Fresh,Drink,Veg,Sunny,50,23,0,1,0,21
Wednesday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,24,0,0,0,28
Friday,Lunch,Biscuits,Packed,Snack,Veg,Cloudy,100,17,1,0,0,19
Sunday,Evening,Veg_Rice,Fresh,Meal,Veg,Sunny,420,19,0,1,0,21
Saturday,Lunch,Tea,Fresh,Drink,Veg,Cloudy,50,25,0,1,1,27
Tuesday,Lunch,Cake_Piece,Packed,Dessert,Veg,Sunny,220,24,0,0,0,24
Saturday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,5,0,1,1,5
Thursday,Morning,Parotta,Fresh,Meal,NonVeg,Sunny,400,25,0,0,0,22
Friday,Morning,Rice,Fresh,Meal,Veg,Cloudy,300,6,1,0,0,5
Saturday,Evening,Chocolate,Packed,Dessert,Veg,Sunny,200,15,0,1,0,15
Thursday,Evening,SoftDrink,Packed,Drink,Veg,Cloudy,180,14,0,0,1,13
Thursday,Evening,Parotta,Fresh,Meal,NonVeg,Rainy,400,27,0,0,0,31
Saturday,Evening,Chocolate,Packed,Dessert,Veg,Rainy,200,20,0,1,0,22
Monday,Morning,Parotta,Fresh,Meal,NonVeg,Rainy,400,14,0,0,0,13
Tuesday,Evening,Idly,Fresh,Meal,Veg,Cloudy,310,11,0,0,0,11
Saturday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,25,0,1,0,26
Friday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,24,1,0,0,23
Sunday,Evening,Rice,Fresh,Meal,Veg,Rainy,300,21,0,1,0,20
Thursday,Morning,Samosa,Fresh,Snack,Veg,Cloudy,280,16,0,0,0,15
Saturday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,19,0,1,0,21
Sunday,Morning,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,15,0,1,1,13
Wednesday,Evening,Chocolate,Packed,Dessert,Veg,Rainy,200,29,0,0,0,33
Sunday,Evening,Idly,Fresh,Meal,Veg,Sunny,310,24,0,1,0,25
Sunday,Morning,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,5,0,1,0,4
Monday,Morning,Biscuits,Packed,Snack,Veg,Rainy,100,6,0,0,0,6
Thursday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,23,0,0,1,22
Thursday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,16,0,0,0,14
Tuesday,Evening,Parotta,Fresh,Meal,NonVeg,Cloudy,400,14,0,0,0,16
Friday,Lunch,Parotta,Fresh,Meal,NonVeg,Cloudy,400,29,1,0,0,31
Wednesday,Lunch,SoftDrink,Packed,Drink,Veg,Rainy,180,25,0,0,0,26
Wednesday,Morning,Chips,Packed,Snack,Veg,Cloudy,150,16,0,0,1,18
Sunday,Lunch,Chocolate,Packed,Dessert,Veg,Cloudy,200,8,0,1,0,8
Friday,Evening,Idly,Fresh,Meal,Veg,Sunny,310,10,1,0,0,11
Friday,Evening,Chocolate,Packed,Dessert,Veg,Cloudy,200,14,1,0,1,13
Thursday,Evening,Chips,Packed,Snack,Veg,Rainy,150,5,0,0,1,4
Friday,Evening,Veg_Rice,Fresh,Meal,Veg,Cloudy,420,24,1,0,0,28
Tuesday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,22,0,0,0,19
Friday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,22,1,0,0,24
Tuesday,Evening,Parotta,Fresh,Meal,NonVeg,Rainy,400,8,0,0,0,9
Saturday,Lunch,Chocolate,Packed,Dessert,Veg,Sunny,200,20,0,1,0,23
Friday,Evening,SoftDrink,Packed,Drink,Veg,Rainy,180,22,1,0,0,20
Friday,Morning,Parotta,Fresh,Meal,NonVeg,Cloudy,400,29,1,0,0,27
Monday,Evening,Biscuits,Packed,Snack,Veg,Rainy,100,14,0,0,1,16
Friday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,5,1,0,0,5
Saturday,Evening,Tea,Fresh,Drink,Veg,Rainy,50,16,0,1,0,17
Wednesday,Morning,Chips,Packed,Snack,Veg,Sunny,150,13,0,0,1,11
Saturday,Lunch,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,7,0,1,0,7
Friday,Evening,Samosa,Fresh,Snack,Veg,Cloudy,280,21,1,0,0,21
Wednesday,Lunch,Chips,Packed,Snack,Veg,Sunny,150,8,0,0,0,8
Thursday,Lunch,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,12,0,0,0,11
Friday,Evening,Tea,Fresh,Drink,Veg,Cloudy,50,15,1,0,0,15
Saturday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,13,0,1,1,15
Monday,Lunch,Cake_Piece,Packed,Dessert,Veg,Sunny,220,24,0,0,0,27
Saturday,Lunch,Chips,Packed,Snack,Veg,Rainy,150,23,0,1,1,21
Friday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,6,1,0,0,7
Tuesday,Lunch,Parotta,Fresh,Meal,NonVeg,Sunny,400,8,0,0,1,9
Sunday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,17,0,1,1,17
Sunday,Morning,Chicken_Rice,Fresh,Meal,NonVeg,Sunny,350,14,0,1,0,15
Monday,Lunch,Chocolate,Packed,Dessert,Veg,Rainy,200,20,0,0,0,19
Friday,Lunch,Parotta,Fresh,Meal,NonVeg,Sunny,400,19,1,0,1,22
Monday,Morning,Parotta,Fresh,Meal,NonVeg,Sunny,400,11,0,0,0,10
Saturday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,15,0,1,0,17
Wednesday,Evening,Cake_Piece,Packed,Dessert,Veg,Rainy,220,13,0,0,0,13
Friday,Lunch,Idly,Fresh,Meal,Veg,Sunny,310,8,1,0,1,8
Friday,Lunch,Chocolate,Packed,Dessert,Veg,Cloudy,200,30,1,0,0,29
Friday,Evening,Idly,Fresh,Meal,Veg,Sunny,310,10,1,0,1,10
Monday,Evening,SoftDrink,Packed,Drink,Veg,Cloudy,180,15,0,0,0,14
Saturday,Evening,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,6,0,1,0,7
Friday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,13,1,0,0,12
Tuesday,Evening,SoftDrink,Packed,Drink,Veg,Cloudy,180,19,0,0,1,20
Wednesday,Evening,Cake_Piece,Packed,Dessert,Veg,Sunny,220,9,0,0,0,9
Sunday,Evening,Rice,Fresh,Meal,Veg,Sunny,300,18,0,1,0,18
Sunday,Evening,Samosa,Fresh,Snack,Veg,Rainy,280,21,0,1,0,24
Saturday,Morning,Rice,Fresh,Meal,Veg,Rainy,300,25,0,1,0,24
Tuesday,Lunch,Veg_Rice,Fresh,Meal,Veg,Sunny,420,14,0,0,0,13
Saturday,Morning,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,22,0,1,0,25
Friday,Lunch,Veg_Rice,Fresh,Meal,Veg,Cloudy,420,14,1,0,0,12
Monday,Evening,Rice,Fresh,Meal,Veg,Cloudy,300,27,0,0,0,25
Thursday,Evening,Samosa,Fresh,Snack,Veg,Cloudy,280,7,0,0,0,7
Monday,Lunch,Idly,Fresh,Meal,Veg,Cloudy,310,12,0,0,0,12
Wednesday,Lunch,SoftDrink,Packed,Drink,Veg,Rainy,180,7,0,0,1,6
Monday,Evening,Chocolate,Packed,Dessert,Veg,Cloudy,200,21,0,0,0,21
Wednesday,Lunch,Chips,Packed,Snack,Veg,Cloudy,150,7,0,0,0,8
Wednesday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,19,0,0,0,21
Wednesday,Evening,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,13,0,0,1,15
Sunday,Lunch,Parotta,Fresh,Meal,NonVeg,Sunny,400,28,0,1,0,29
Wednesday,Morning,Biscuits,Packed,Snack,Veg,Cloudy,100,7,0,0,0,7
Wednesday,Evening,Juice,Fresh,Drink,Veg,Sunny,120,9,0,0,0,9
Thursday,Evening,Juice,Fresh,Drink,Veg,Sunny,120,29,0,0,1,33
Tuesday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,14,0,0,1,15
Monday,Lunch,Veg_Rice,Fresh,Meal,Veg,Rainy,420,18,0,0,0,18
Tuesday,Lunch,Parotta,Fresh,Meal,NonVeg,Sunny,400,10,0,0,0,9
Friday,Evening,Samosa,Fresh,Snack,Veg,Cloudy,280,28,1,0,0,28
Tuesday,Lunch,Rice,Fresh,Meal,Veg,Rainy,300,27,0,0,0,25
Friday,Lunch,Biscuits,Packed,Snack,Veg,Sunny,100,9,1,0,0,9
Tuesday,Lunch,Chocolate,Packed,Dessert,Veg,Cloudy,200,19,0,0,1,17
Wednesday,Evening,Parotta,Fresh,Meal,NonVeg,Rainy,400,6,0,0,0,6
Thursday,Morning,Biscuits,Packed,Snack,Veg,Cloudy,100,8,0,0,0,7
Thursday,Evening,Tea,Fresh,Drink,Veg,Rainy,50,12,0,0,1,11
Friday,Evening,Idly,Fresh,Meal,Veg,Cloudy,310,28,1,0,0,30
Friday,Morning,Veg_Rice,Fresh,Meal,Veg,Sunny,420,14,1,0,1,16
Saturday,Morning,Cake_Piece,Packed,Dessert,Veg,Sunny,220,15,0,1,1,17
Tuesday,Lunch,Idly,Fresh,Meal,Veg,Rainy,310,23,0,0,0,26
Wednesday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,16,0,0,0,14
Monday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,20,0,0,0,23
Monday,Morning,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,13,0,0,0,15
Thursday,Morning,Rice,Fresh,Meal,Veg,Cloudy,300,11,0,0,1,12
Saturday,Lunch,Samosa,Fresh,Snack,Veg,Cloudy,280,5,0,1,0,5
Wednesday,Evening,Idly,Fresh,Meal,Veg,Cloudy,310,18,0,0,0,19
Wednesday,Lunch,Parotta,Fresh,Meal,NonVeg,Cloudy,400,28,0,0,0,32
Monday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,21,0,0,0,23
Thursday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,28,0,0,1,26
Thursday,Morning,Tea,Fresh,Drink,Veg,Cloudy,50,12,0,0,0,11
Sunday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,22,0,1,0,23
Saturday,Lunch,Chicken_Rice,Fresh,Meal,NonVeg,Sunny,350,24,0,1,0,23
Sunday,Lunch,Veg_Rice,Fresh,Meal,Veg,Sunny,420,13,0,1,1,13
Saturday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,13,0,1,0,11
Friday,Evening,Samosa,Fresh,Snack,Veg,Sunny,280,25,1,0,0,29
Monday,Morning,SoftDrink,Packed,Drink,Veg,Cloudy,180,7,0,0,0,7
Wednesday,Evening,Rice,Fresh,Meal,Veg,Sunny,300,26,0,0,0,25
Thursday,Morning,Tea,Fresh,Drink,Veg,Cloudy,50,24,0,0,1,22
Thursday,Morning,Parotta,Fresh,Meal,NonVeg,Rainy,400,16,0,0,0,17
Wednesday,Lunch,SoftDrink,Packed,Drink,Veg,Cloudy,180,23,0,0,0,24
Sunday,Morning,Idly,Fresh,Meal,Veg,Rainy,310,26,0,1,0,27
Wednesday,Morning,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,7,0,0,0,6
Thursday,Evening,Samosa,Fresh,Snack,Veg,Cloudy,280,30,0,0,1,34
Sunday,Morning,Juice,Fresh,Drink,Veg,Cloudy,120,30,0,1,1,34
Friday,Evening,Chocolate,Packed,Dessert,Veg,Cloudy,200,20,1,0,1,18
Thursday,Lunch,Cake_Piece,Packed,Dessert,Veg,Sunny,220,28,0,0,1,31
Friday,Morning,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,5,1,0,0,5
Friday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,23,1,0,0,26
Tuesday,Evening,Veg_Rice,Fresh,Meal,Veg,Cloudy,420,15,0,0,0,17
